No,Time (min.),Disp (mm.),Load (N.),Stress (N./sq.mm.),Strain,Temp Top Control (°C),Temp Middle Control (°C),Temp Bottom Control (°C),Temp Top (°C),Temp Middle (°C),Temp Bottom (°C)
1,0.0000,0.0000,9.7,0.06,0.0000000,32,31.1,31.6,32,33,31
2,0.0167,0.0250,20.2,0.13,0.0010000,32,31.1,31.6,32,33,31
3,0.0333,0.0490,35.2,0.22,0.0019600,32,31.1,31.6,32,33,31
4,0.0500,0.0740,55.7,0.36,0.0029600,32,31.1,31.6,32,33,31
5,0.0667,0.0990,90.4,0.58,0.0039600,32,31.1,31.6,32,33,31
6,0.0833,0.1240,147.6,0.94,0.0049600,32,31.1,31.6,32,33,31
7,0.1000,0.1490,218.1,1.39,0.0059600,32,31.1,31.6,32,33,31
8,0.1167,0.1740,303.6,1.93,0.0069600,32,31.1,31.6,32,33,31
9,0.1333,0.1990,402.0,2.56,0.0079600,32,31.1,31.6,32,33,31
10,0.1500,0.2240,514.8,3.28,0.0089600,32,31.1,31.6,32,33,31
11,0.1667,0.2490,652.2,4.15,0.0099600,32,31.1,31.6,32,33,31
12,0.1833,0.2740,803.5,5.12,0.0109600,32,31.1,31.6,32,33,31
13,0.2000,0.2990,963.6,6.13,0.0119600,32,31.1,31.6,32,33,31
14,0.2167,0.3240,1130.6,7.20,0.0129600,32,31.1,31.6,32,33,31
15,0.2333,0.3490,1310.7,8.34,0.0139600,32,31.1,31.6,32,33,31
16,0.2500,0.3740,1491.7,9.50,0.0149600,32,31.1,31.6,32,33,31
17,0.2667,0.3990,1677.8,10.68,0.0159600,32,31.1,31.6,32,33,31
18,0.2833,0.4240,1863.7,11.86,0.0169600,32,31.1,31.6,32,33,31
19,0.3000,0.4490,2057.0,13.10,0.0179600,32,31.1,31.6,32,33,31
20,0.3167,0.4740,2250.9,14.33,0.0189600,32,31.1,31.6,32,33,31
21,0.3333,0.4990,2438.2,15.52,0.0199600,32,31.1,31.6,32,33,31
22,0.3500,0.5240,2632.5,16.76,0.0209600,32,31.1,31.6,32,33,31
23,0.3667,0.5490,2823.3,17.97,0.0219600,32,31.1,31.6,32,33,31
24,0.3833,0.5740,3016.9,19.21,0.0229600,32,31.1,31.6,32,33,31
25,0.4000,0.5990,3204.5,20.40,0.0239600,32,31.1,31.6,32,33,31
26,0.4167,0.6240,3391.1,21.59,0.0249600,32,31.1,31.6,32,33,31
27,0.4333,0.6490,3580.1,22.79,0.0259600,32,31.1,31.6,32,33,31
28,0.4500,0.6740,3770.7,24.00,0.0269600,32,31.1,31.6,32,33,31
29,0.4667,0.6990,3960.8,25.21,0.0279600,32,31.1,31.6,32,33,31
30,0.4833,0.7240,4150.3,26.42,0.0289600,32,31.1,31.6,32,33,31
31,0.5000,0.7490,4336.6,27.61,0.0299600,32,31.1,31.6,32,33,31
32,0.5167,0.7740,4523.3,28.80,0.0309600,32,31.1,31.6,32,33,31
33,0.5333,0.7990,4708.6,29.98,0.0319600,32,31.2,31.6,32,33,31
34,0.5500,0.8240,4890.7,31.14,0.0329600,32,31.2,31.6,32,33,31
35,0.5667,0.8490,5063.1,32.23,0.0339600,32,31.2,31.6,32,33,31
36,0.5833,0.8740,5235.4,33.33,0.0349600,32,31.1,31.6,32,33,31
37,0.6000,0.8990,5401.2,34.39,0.0359600,32,31.1,31.6,32,33,31
38,0.6167,0.9240,5563.5,35.42,0.0369600,32,31.2,31.6,32,33,31
39,0.6333,0.9490,5715.0,36.38,0.0379600,32,31.1,31.6,32,33,31
40,0.6500,0.9740,5862.8,37.32,0.0389600,32,31.1,31.6,32,33,31
41,0.6667,0.9990,5999.4,38.19,0.0399600,32,31.1,31.6,32,33,31
42,0.6833,1.0240,6128.8,39.02,0.0409600,32,31.1,31.6,32,33,31
43,0.7000,1.0490,6245.0,39.76,0.0419600,32,31.1,31.6,32,33,31
44,0.7167,1.0740,6349.1,40.42,0.0429600,32,31.1,31.6,32,33,31
45,0.7333,1.0990,6441.1,41.00,0.0439600,32,31.1,31.6,32,33,31
46,0.7500,1.1240,6523.5,41.53,0.0449600,32,31.1,31.6,32,33,31
