No,Time (min.),Disp (mm.),Load (N.),Stress (N./sq.mm.),Strain,Temp Top Control (°C),Temp Middle Control (°C),Temp Bottom Control (°C),Temp Top (°C),Temp Middle (°C),Temp Bottom (°C)
1,0.0000,0.0000,7.2,0.05,0.0000000,31.8,30.9,31.4,32,32,31
2,0.0167,0.0250,16.8,0.11,0.0010000,31.8,30.9,31.4,32,32,31
3,0.0333,0.0490,39.1,0.25,0.0019600,31.8,30.9,31.4,32,32,31
4,0.0500,0.0740,76.8,0.49,0.0029600,31.8,30.9,31.4,32,32,31
5,0.0667,0.0990,132.9,0.85,0.0039600,31.8,30.9,31.4,32,32,31
6,0.0833,0.1240,212.7,1.35,0.0049600,31.8,30.9,31.4,32,32,31
7,0.1000,0.1490,307.4,1.96,0.0059600,31.8,30.9,31.4,32,32,31
8,0.1167,0.1740,419.1,2.67,0.0069600,31.8,30.9,31.4,32,32,31
9,0.1333,0.1990,547.1,3.48,0.0079600,31.8,30.9,31.4,32,32,31
10,0.1500,0.2240,693.9,4.42,0.0089600,31.8,30.9,31.4,32,32,31
11,0.1667,0.2490,856.9,5.46,0.0099600,31.8,30.9,31.4,32,32,31
12,0.1833,0.2740,1034.6,6.59,0.0109600,31.8,30.9,31.4,32,32,31
13,0.2000,0.2990,1218.6,7.76,0.0119600,31.8,30.9,31.4,32,32,31
14,0.2167,0.3240,1410.3,8.98,0.0129600,31.8,30.9,31.4,32,32,31
15,0.2333,0.3490,1604.7,10.22,0.0139600,31.8,30.9,31.4,32,32,31
16,0.2500,0.3740,1802.7,11.48,0.0149600,31.8,30.9,31.4,32,32,31
17,0.2667,0.3990,2006.0,12.77,0.0159600,31.8,30.9,31.4,32,32,31
18,0.2833,0.4240,2209.0,14.06,0.0169600,31.8,30.9,31.4,32,32,31
19,0.3000,0.4490,2404.7,15.31,0.0179600,31.8,30.9,31.4,32,32,31
20,0.3167,0.4740,2610.7,16.62,0.0189600,31.8,30.9,31.4,32,32,31
21,0.3333,0.4990,2814.0,17.91,0.0199600,31.8,30.9,31.4,32,32,31
22,0.3500,0.5240,3017.8,19.21,0.0209600,31.8,30.9,31.4,32,32,31
23,0.3667,0.5490,3220.4,20.50,0.0219600,31.8,30.9,31.3,32,32,31
24,0.3833,0.5740,3422.5,21.79,0.0229600,31.8,30.9,31.3,32,32,31
25,0.4000,0.5990,3622.0,23.06,0.0239600,31.8,30.9,31.3,32,32,31
26,0.4167,0.6240,3817.9,24.31,0.0249600,31.8,30.9,31.3,32,32,31
27,0.4333,0.6490,4013.4,25.55,0.0259600,31.8,30.9,31.3,32,32,31
28,0.4500,0.6740,4205.9,26.78,0.0269600,31.8,30.9,31.3,32,32,31
