No,Time (min.),Disp (mm.),Load (N.),Stress (N./sq.mm.),Strain,Temp Top Control (°C),Temp Middle Control (°C),Temp Bottom Control (°C),Temp Top (°C),Temp Middle (°C),Temp Bottom (°C)
1,0.0000,0.0000,41.4,0.23,0.0000000,33.5,32.9,33.5,32,33,32
2,0.0167,0.0260,93.2,0.53,0.0010400,33.5,32.9,33.5,32,33,32
3,0.0333,0.0500,146.2,0.83,0.0020000,33.5,32.9,33.5,32,33,32
4,0.0500,0.0750,214.1,1.21,0.0030000,33.5,32.9,33.5,32,33,32
5,0.0667,0.0990,300.6,1.70,0.0039600,33.5,32.9,33.5,32,33,32
6,0.0833,0.1240,406.8,2.30,0.0049600,33.5,32.9,33.5,32,33,32
7,0.1000,0.1490,539.0,3.05,0.0059600,33.5,32.9,33.5,32,33,32
8,0.1167,0.1740,694.9,3.93,0.0069600,33.5,32.9,33.5,32,33,32
9,0.1333,0.1990,873.2,4.94,0.0079600,33.5,32.9,33.5,32,33,32
10,0.1500,0.2240,1075.2,6.08,0.0089600,33.5,32.9,33.5,32,33,32
11,0.1667,0.2490,1294.9,7.33,0.0099600,33.5,32.9,33.5,32,33,32
12,0.1833,0.2740,1525.9,8.63,0.0109600,33.5,32.9,33.5,32,33,32
13,0.2000,0.2990,1759.5,9.96,0.0119600,33.5,32.9,33.5,32,33,32
14,0.2167,0.3240,2003.6,11.34,0.0129600,33.5,32.9,33.5,32,33,32
15,0.2333,0.3490,2253.6,12.75,0.0139600,33.5,32.9,33.5,32,33,32
16,0.2500,0.3740,2498.2,14.14,0.0149600,33.5,32.9,33.5,32,33,32
17,0.2667,0.3990,2748.5,15.55,0.0159600,33.5,32.9,33.5,32,33,32
18,0.2833,0.4240,3006.3,17.01,0.0169600,33.5,32.9,33.5,32,33,32
19,0.3000,0.4490,3260.8,18.45,0.0179600,33.5,32.9,33.5,32,33,32
20,0.3167,0.4740,3515.5,19.89,0.0189600,33.5,32.9,33.5,32,33,32
21,0.3333,0.4990,3768.4,21.32,0.0199600,33.5,32.9,33.5,32,33,32
22,0.3500,0.5240,4023.7,22.77,0.0209600,33.5,32.9,33.5,32,33,32
23,0.3667,0.5490,4278.5,24.21,0.0219600,33.5,32.9,33.5,32,33,32
24,0.3833,0.5740,4535.4,25.66,0.0229600,33.5,32.9,33.5,32,33,32
25,0.4000,0.5990,4793.3,27.12,0.0239600,33.5,32.9,33.5,32,33,32
26,0.4167,0.6240,5043.5,28.54,0.0249600,33.5,32.9,33.5,32,33,32
27,0.4333,0.6490,5300.7,30.00,0.0259600,33.5,32.9,33.5,32,33,32
28,0.4500,0.6740,5559.8,31.46,0.0269600,33.5,32.9,33.5,32,33,32
29,0.4667,0.6990,5816.1,32.91,0.0279600,33.5,32.9,33.5,32,33,32
30,0.4833,0.7240,6071.6,34.36,0.0289600,33.5,32.9,33.5,32,33,32
31,0.5000,0.7490,6325.7,35.80,0.0299600,33.5,32.9,33.5,32,33,32
32,0.5167,0.7740,6579.7,37.23,0.0309600,33.5,32.9,33.5,32,33,32
33,0.5333,0.7990,6833.5,38.67,0.0319600,33.5,32.9,33.5,32,33,32
34,0.5500,0.8240,7080.1,40.07,0.0329600,33.5,32.9,33.5,32,33,32
35,0.5667,0.8490,7327.5,41.47,0.0339600,33.5,32.9,33.5,32,33,32
36,0.5833,0.8740,7562.3,42.79,0.0349600,33.5,32.9,33.5,32,33,32
37,0.6000,0.8990,7801.6,44.15,0.0359600,33.5,32.9,33.5,32,33,32
38,0.6167,0.9240,8033.5,45.46,0.0369600,33.5,32.9,33.5,32,33,32
39,0.6333,0.9490,8258.3,46.73,0.0379600,33.5,32.9,33.5,32,33,32
40,0.6500,0.9740,8478.6,47.98,0.0389600,33.5,32.9,33.5,32,33,32
41,0.6667,0.9990,8695.6,49.21,0.0399600,33.5,32.9,33.5,32,33,32
42,0.6833,1.0240,8901.0,50.37,0.0409600,33.5,32.9,33.5,32,33,32
43,0.7000,1.0490,9099.1,51.49,0.0419600,33.5,32.9,33.5,32,33,32
44,0.7167,1.0740,9289.3,52.57,0.0429600,33.5,32.9,33.5,32,33,32
45,0.7333,1.0990,9467.5,53.57,0.0439600,33.5,32.9,33.5,32,33,32
46,0.7500,1.1240,9639.9,54.55,0.0449600,33.5,32.9,33.5,32,33,32
47,0.7667,1.1490,9803.0,55.47,0.0459600,33.5,32.9,33.5,32,33,32
48,0.7833,1.1740,9958.3,56.35,0.0469600,33.5,32.9,33.5,32,33,32
49,0.8000,1.1990,10093.6,57.12,0.0479600,33.5,32.9,33.5,32,33,32
50,0.8167,1.2240,10219.5,57.83,0.0489600,33.5,32.9,33.5,32,33,32
51,0.8333,1.2490,10327.8,58.44,0.0499600,33.5,32.9,33.5,32,33,32
52,0.8500,1.2740,10418.8,58.96,0.0509600,33.5,32.9,33.5,32,33,32
53,0.8667,1.2990,10492.9,59.38,0.0519600,33.5,32.9,33.5,32,33,32
54,0.8833,1.3240,10546.9,59.68,0.0529600,33.5,32.9,33.5,32,33,32
55,0.9000,1.3490,10583.7,59.89,0.0539600,33.5,32.9,33.5,32,33,32
56,0.9167,1.3740,10596.9,59.97,0.0549600,33.5,32.9,33.5,32,33,32
57,0.9333,1.3990,10595.9,59.96,0.0559600,33.5,32.9,33.5,32,33,32
58,0.9500,1.4240,10579.1,59.87,0.0569600,33.5,32.9,33.5,32,33,32
59,0.9667,1.4490,10550.9,59.71,0.0579600,33.5,32.9,33.5,32,33,32
60,0.9833,1.4740,10508.0,59.46,0.0589600,33.5,32.9,33.5,32,33,32
61,1.0000,1.4990,10460.6,59.19,0.0599600,33.5,32.9,33.5,32,33,32
62,1.0167,1.5240,10406.1,58.89,0.0609600,33.5,32.9,33.5,32,33,32
63,1.0333,1.5490,10353.6,58.59,0.0619600,33.5,32.9,33.5,32,33,32
64,1.0500,1.5740,10300.7,58.29,0.0629600,33.5,32.9,33.5,32,33,32
65,1.0667,1.5990,10248.9,58.00,0.0639600,33.5,32.9,33.5,32,33,32
66,1.0833,1.6240,10196.9,57.70,0.0649600,33.5,32.9,33.5,32,33,32
67,1.1000,1.6490,10153.3,57.46,0.0659600,33.5,32.9,33.5,32,33,32
68,1.1167,1.6740,10113.8,57.23,0.0669600,33.5,32.9,33.5,32,33,32
69,1.1333,1.6990,10085.2,57.07,0.0679600,33.5,33,33.5,32,33,32
70,1.1500,1.7240,10051.7,56.88,0.0689600,33.5,33,33.5,32,33,32
71,1.1667,1.7490,10023.0,56.72,0.0699600,33.5,32.9,33.5,32,33,32
72,1.1833,1.7740,9994.7,56.56,0.0709600,33.5,32.9,33.5,32,33,32
73,1.2000,1.7990,9973.3,56.44,0.0719600,33.5,33,33.5,32,33,32
74,1.2167,1.8240,9948.9,56.30,0.0729600,33.5,33,33.5,32,33,32
75,1.2333,1.8490,9933.4,56.21,0.0739600,33.5,33,33.5,32,33,32
76,1.2500,1.8740,9915.7,56.11,0.0749600,33.6,33,33.5,32,33,32
77,1.2667,1.8990,9902.2,56.04,0.0759600,33.6,33,33.5,32,33,32
78,1.2833,1.9240,9887.1,55.95,0.0769600,33.6,32.9,33.5,32,33,32
79,1.3000,1.9490,9872.6,55.87,0.0779600,33.6,32.9,33.5,32,33,32
80,1.3167,1.9740,9859.7,55.79,0.0789600,33.6,32.9,33.5,32,33,32
81,1.3333,1.9990,9848.6,55.73,0.0799600,33.6,32.9,33.5,32,33,32
82,1.3500,2.0240,9833.5,55.65,0.0809600,33.6,32.9,33.5,32,33,32
83,1.3667,2.0490,9824.6,55.60,0.0819600,33.6,32.9,33.5,32,33,32
84,1.3833,2.0740,9813.4,55.53,0.0829600,33.6,32.9,33.5,32,33,32
85,1.4000,2.0990,9803.3,55.48,0.0839600,33.6,32.9,33.5,32,33,32
86,1.4167,2.1240,9793.3,55.42,0.0849600,33.6,32.9,33.5,32,33,32
87,1.4333,2.1490,9783.2,55.36,0.0859600,33.6,32.9,33.5,32,33,32
88,1.4500,2.1740,9775.0,55.32,0.0869600,33.6,32.9,33.6,32,33,32
89,1.4667,2.1990,9765.2,55.26,0.0879600,33.6,33,33.5,32,33,32
90,1.4833,2.2240,9755.4,55.20,0.0889600,33.6,33,33.5,32,33,32
91,1.5000,2.2490,9747.7,55.16,0.0899600,33.6,33,33.5,32,33,32
92,1.5167,2.2740,9738.5,55.11,0.0909600,33.6,33,33.5,32,33,32
93,1.5333,2.2990,9729.9,55.06,0.0919600,33.6,33,33.5,32,33,32
94,1.5500,2.3240,9721.4,55.01,0.0929600,33.6,33,33.5,32,33,32
95,1.5667,2.3490,9716.1,54.98,0.0939600,33.6,33,33.5,32,33,32
96,1.5833,2.3740,9707.2,54.93,0.0949600,33.6,33,33.5,32,33,32
97,1.6000,2.3990,9698.7,54.88,0.0959600,33.6,33,33.5,32,33,32
98,1.6167,2.4240,9692.3,54.85,0.0969600,33.6,33,33.5,32,33,32
99,1.6333,2.4490,9685.5,54.81,0.0979600,33.6,33,33.5,32,33,32
100,1.6500,2.4740,9677.2,54.76,0.0989600,33.6,33,33.5,32,33,32
101,1.6667,2.4990,9670.6,54.72,0.0999600,33.6,33,33.5,32,33,32
102,1.6833,2.5240,9662.7,54.68,0.1009600,33.6,33,33.6,32,33,32
103,1.7000,2.5490,9658.4,54.66,0.1019600,33.6,33,33.6,32,33,32
104,1.7167,2.5740,9652.1,54.62,0.1029600,33.6,33,33.6,32,33,32
105,1.7333,2.5990,9645.3,54.58,0.1039600,33.6,33,33.6,32,33,32
106,1.7500,2.6240,9637.7,54.54,0.1049600,33.6,33,33.6,32,33,32
107,1.7667,2.6490,9633.0,54.51,0.1059600,33.6,33,33.6,32,33,32
108,1.7833,2.6740,9629.8,54.49,0.1069600,33.6,33,33.5,32,33,32
109,1.8000,2.6990,9624.4,54.46,0.1079600,33.6,33,33.5,32,33,32
110,1.8167,2.7240,9619.3,54.43,0.1089600,33.6,33,33.6,32,33,32
111,1.8333,2.7490,9617.5,54.42,0.1099600,33.6,33,33.6,32,33,32
112,1.8500,2.7740,9613.1,54.40,0.1109600,33.6,33,33.6,32,33,32
113,1.8667,2.7990,9609.0,54.38,0.1119600,33.6,33,33.6,32,33,32
114,1.8833,2.8240,9604.8,54.35,0.1129600,33.6,33,33.6,32,33,32
115,1.9000,2.8490,9600.9,54.33,0.1139600,33.6,33,33.6,32,33,32
116,1.9167,2.8740,9597.8,54.31,0.1149600,33.6,33,33.6,32,33,32
117,1.9333,2.8990,9595.2,54.30,0.1159600,33.6,33,33.6,32,33,32
118,1.9500,2.9240,9592.8,54.28,0.1169600,33.6,33,33.6,32,33,32
119,1.9667,2.9490,9589.6,54.27,0.1179600,33.6,33,33.6,32,33,32
120,1.9833,2.9740,9588.9,54.26,0.1189600,33.6,33,33.6,32,33,32
121,2.0000,2.9990,9588.1,54.26,0.1199600,33.6,33,33.6,32,33,32
122,2.0167,3.0240,9586.3,54.25,0.1209600,33.6,33,33.6,32,33,32
123,2.0333,3.0490,9582.7,54.23,0.1219600,33.6,33,33.6,32,33,32
124,2.0500,3.0740,9580.6,54.22,0.1229600,33.6,33,33.6,32,33,32
125,2.0667,3.0990,9579.3,54.21,0.1239600,33.6,33,33.6,32,33,32
126,2.0833,3.1240,9578.4,54.20,0.1249600,33.6,33,33.6,32,33,32
127,2.1000,3.1490,9575.9,54.19,0.1259600,33.6,33,33.6,32,33,32
128,2.1167,3.1740,9576.2,54.19,0.1269600,33.6,33,33.6,32,33,32
129,2.1333,3.1990,9575.8,54.19,0.1279600,33.6,33,33.6,32,33,32
130,2.1500,3.2240,9578.1,54.20,0.1289600,33.6,33,33.6,32,33,32
131,2.1667,3.2490,9577.6,54.20,0.1299600,33.6,33,33.6,32,33,32
132,2.1833,3.2740,9577.1,54.20,0.1309600,33.6,33,33.6,32,33,32
133,2.2000,3.2990,9574.7,54.18,0.1319600,33.6,33,33.6,32,33,32
134,2.2167,3.3240,9576.8,54.19,0.1329600,33.6,33,33.6,32,33,32
135,2.2333,3.3490,9580.0,54.21,0.1339600,33.6,33,33.6,32,33,32
136,2.2500,3.3740,9581.3,54.22,0.1349600,33.6,33,33.6,32,33,32
137,2.2667,3.3990,9581.2,54.22,0.1359600,33.6,33,33.6,32,33,32
138,2.2833,3.4240,9583.7,54.23,0.1369600,33.6,33,33.6,32,33,32
139,2.3000,3.4490,9583.8,54.23,0.1379600,33.6,33,33.6,32,33,32
140,2.3167,3.4740,9584.9,54.24,0.1389600,33.6,33,33.6,32,33,32
141,2.3333,3.4990,9587.4,54.25,0.1399600,33.6,33,33.6,32,33,32
142,2.3500,3.5240,9589.5,54.27,0.1409600,33.6,33,33.6,32,33,32
143,2.3667,3.5490,9592.1,54.28,0.1419600,33.6,33,33.6,32,33,32
144,2.3833,3.5740,9595.5,54.30,0.1429600,33.6,33,33.6,32,33,32
145,2.4000,3.5990,9598.1,54.31,0.1439600,33.7,33,33.6,32,33,32
146,2.4167,3.6240,9600.2,54.33,0.1449600,33.7,33,33.6,32,33,32
147,2.4333,3.6490,9605.9,54.36,0.1459600,33.7,33,33.6,32,33,32
148,2.4500,3.6740,9612.2,54.39,0.1469600,33.7,33,33.6,32,33,32
149,2.4667,3.6990,9615.9,54.42,0.1479600,33.7,33,33.6,32,33,32
150,2.4833,3.7240,9618.0,54.43,0.1489600,33.7,33,33.6,32,33,32
151,2.5000,3.7490,9621.7,54.45,0.1499600,33.7,33,33.5,32,33,32
152,2.5167,3.7740,9626.6,54.48,0.1509600,33.7,33,33.5,32,33,32
153,2.5333,3.7990,9631.1,54.50,0.1519600,33.7,33,33.6,32,33,32
154,2.5500,3.8240,9634.8,54.52,0.1529600,33.7,33,33.6,32,33,32
155,2.5667,3.8490,9639.4,54.55,0.1539600,33.7,33,33.6,32,33,32
156,2.5833,3.8740,9646.4,54.59,0.1549600,33.7,33,33.6,32,33,32
157,2.6000,3.8990,9654.2,54.63,0.1559600,33.7,33,33.6,32,33,32
158,2.6167,3.9240,9658.0,54.65,0.1569600,33.7,33,33.6,32,33,32
159,2.6333,3.9490,9661.7,54.67,0.1579600,33.7,33,33.6,32,33,32
160,2.6500,3.9740,9667.7,54.71,0.1589600,33.7,33,33.6,32,33,32
161,2.6667,3.9990,9675.6,54.75,0.1599600,33.7,33,33.6,32,33,32
162,2.6833,4.0240,9682.3,54.79,0.1609600,33.7,33,33.6,32,33,32
163,2.7000,4.0490,9689.7,54.83,0.1619600,33.7,33,33.6,32,33,32
164,2.7167,4.0740,9695.1,54.86,0.1629600,33.7,33,33.6,32,33,32
165,2.7333,4.0990,9702.9,54.91,0.1639600,33.7,33,33.6,32,33,32
166,2.7500,4.1240,9711.0,54.95,0.1649600,33.7,33,33.6,32,33,32
167,2.7667,4.1490,9717.8,54.99,0.1659600,33.7,33,33.6,32,33,32
168,2.7833,4.1740,9727.4,55.05,0.1669600,33.7,33,33.6,32,33,32
169,2.8000,4.1990,9738.1,55.11,0.1679600,33.7,33,33.6,32,33,32
170,2.8167,4.2240,9747.9,55.16,0.1689600,33.7,33,33.6,32,33,32
171,2.8333,4.2490,9755.3,55.20,0.1699600,33.7,33,33.6,32,33,32
172,2.8500,4.2740,9764.0,55.25,0.1709600,33.7,33,33.6,32,33,32
173,2.8667,4.2990,9772.5,55.30,0.1719600,33.7,33,33.6,32,33,32
174,2.8833,4.3240,9785.0,55.37,0.1729600,33.7,33,33.6,32,33,32
175,2.9000,4.3490,9796.6,55.44,0.1739600,33.7,33,33.6,32,33,32
176,2.9167,4.3740,9807.0,55.50,0.1749600,33.7,33,33.6,32,33,32
177,2.9333,4.3990,9816.2,55.55,0.1759600,33.7,33,33.6,32,33,32
178,2.9500,4.4240,9827.5,55.61,0.1769600,33.7,33,33.6,32,33,32
179,2.9667,4.4490,9838.0,55.67,0.1779600,33.7,33,33.6,32,33,32
180,2.9833,4.4740,9848.6,55.73,0.1789600,33.7,33,33.6,32,33,32
181,3.0000,4.4990,9861.5,55.80,0.1799600,33.7,33,33.6,32,33,32
182,3.0167,4.5240,9872.8,55.87,0.1809600,33.7,33.1,33.6,32,33,32
183,3.0333,4.5490,9887.2,55.95,0.1819600,33.7,33.1,33.6,32,33,32
184,3.0500,4.5740,9899.1,56.02,0.1829600,33.7,33.1,33.6,32,33,32
185,3.0667,4.5990,9909.6,56.08,0.1839600,33.7,33.1,33.6,32,33,32
186,3.0833,4.6240,9919.4,56.13,0.1849600,33.7,33,33.6,32,33,32
187,3.1000,4.6490,9935.8,56.23,0.1859600,33.7,33.1,33.6,32,33,32
188,3.1167,4.6740,9952.3,56.32,0.1869600,33.7,33.1,33.6,32,33,32
189,3.1333,4.6990,9964.8,56.39,0.1879600,33.7,33.1,33.6,32,33,32
190,3.1500,4.7240,9978.3,56.47,0.1889600,33.7,33.1,33.6,32,33,32
191,3.1667,4.7490,9989.6,56.53,0.1899600,33.7,33.1,33.6,32,33,32
192,3.1833,4.7740,10001.7,56.60,0.1909600,33.7,33,33.6,32,33,32
193,3.2000,4.7990,10016.1,56.68,0.1919600,33.7,33,33.6,32,33,32
194,3.2167,4.8240,10029.3,56.75,0.1929600,33.7,33.1,33.6,32,33,32
195,3.2333,4.8490,10043.0,56.83,0.1939600,33.7,33.1,33.6,32,33,32
196,3.2500,4.8740,10059.8,56.93,0.1949600,33.7,33.1,33.6,32,33,32
197,3.2667,4.8990,10075.0,57.01,0.1959600,33.7,33.1,33.6,32,33,32
198,3.2833,4.9240,10087.5,57.08,0.1969600,33.7,33.1,33.6,32,33,32
199,3.3000,4.9490,10098.1,57.14,0.1979600,33.7,33.1,33.6,32,33,32
200,3.3167,4.9740,10111.4,57.22,0.1989600,33.7,33.1,33.6,32,33,32
201,3.3333,4.9990,10130.3,57.33,0.1999600,33.7,33.1,33.6,32,33,32
202,3.3500,5.0240,10145.9,57.41,0.2009600,33.7,33.1,33.6,32,33,32
203,3.3667,5.0490,10160.1,57.49,0.2019600,33.7,33.1,33.6,32,33,32
204,3.3833,5.0740,10173.7,57.57,0.2029600,33.7,33.1,33.6,32,33,32
205,3.4000,5.0990,10189.4,57.66,0.2039600,33.7,33.1,33.6,32,33,32
206,3.4167,5.1240,10203.5,57.74,0.2049600,33.7,33.1,33.6,32,33,32
207,3.4333,5.1490,10220.8,57.84,0.2059600,33.7,33.1,33.6,32,33,32
208,3.4500,5.1740,10237.1,57.93,0.2069600,33.7,33.1,33.7,32,33,32
209,3.4667,5.1990,10257.2,58.04,0.2079600,33.7,33,33.7,32,33,32
210,3.4833,5.2240,10275.0,58.14,0.2089600,33.7,33.1,33.6,32,33,32
211,3.5000,5.2490,10293.5,58.25,0.2099600,33.7,33,33.7,32,33,32
212,3.5167,5.2740,10309.2,58.34,0.2109600,33.7,33,33.6,32,33,32
213,3.5333,5.2990,10322.8,58.42,0.2119600,33.7,33,33.7,32,33,32
214,3.5500,5.3240,10342.2,58.52,0.2129600,33.7,33.1,33.7,32,33,32
215,3.5667,5.3490,10361.1,58.63,0.2139600,33.7,33.1,33.7,32,33,32
216,3.5833,5.3740,10379.9,58.74,0.2149600,33.7,33.1,33.7,32,33,32
217,3.6000,5.3990,10395.9,58.83,0.2159600,33.7,33.1,33.7,32,33,32
218,3.6167,5.4240,10413.0,58.93,0.2169600,33.7,33.1,33.7,32,33,32
219,3.6333,5.4490,10427.6,59.01,0.2179600,33.7,33.1,33.7,32,33,32
220,3.6500,5.4740,10443.6,59.10,0.2189600,33.7,33.1,33.7,32,33,32
221,3.6667,5.4990,10464.1,59.21,0.2199600,33.7,33.1,33.7,32,33,32
222,3.6833,5.5240,10481.8,59.31,0.2209600,33.7,33.1,33.7,32,33,32
223,3.7000,5.5490,10506.2,59.45,0.2219600,33.7,33.1,33.7,32,33,32
224,3.7167,5.5740,10523.5,59.55,0.2229600,33.7,33.1,33.7,32,33,32
225,3.7333,5.5990,10543.4,59.66,0.2239600,33.7,33.1,33.7,32,33,32
226,3.7500,5.6240,10555.7,59.73,0.2249600,33.7,33.1,33.7,32,33,32
227,3.7667,5.6490,10574.7,59.84,0.2259600,33.7,33.1,33.7,32,33,32
228,3.7833,5.6740,10595.0,59.95,0.2269600,33.7,33.1,33.7,32,33,32
229,3.8000,5.6990,10616.5,60.08,0.2279600,33.7,33.1,33.7,32,33,32
230,3.8167,5.7240,10635.5,60.18,0.2289600,33.7,33.1,33.7,32,33,32
231,3.8333,5.7490,10657.4,60.31,0.2299600,33.7,33.1,33.7,32,33,32
232,3.8500,5.7740,10673.1,60.40,0.2309600,33.7,33.1,33.7,32,33,32
233,3.8667,5.7990,10691.9,60.50,0.2319600,33.7,33.1,33.7,32,33,32
234,3.8833,5.8240,10710.1,60.61,0.2329600,33.7,33.1,33.6,32,33,32
235,3.9000,5.8490,10728.9,60.71,0.2339600,33.7,33.1,33.6,32,33,32
236,3.9167,5.8740,10748.6,60.82,0.2349600,33.7,33.1,33.6,32,33,32
237,3.9333,5.8990,10769.3,60.94,0.2359600,33.7,33.1,33.7,32,33,32
238,3.9500,5.9240,10788.3,61.05,0.2369600,33.7,33.1,33.7,32,33,32
239,3.9667,5.9490,10805.6,61.15,0.2379600,33.8,33.1,33.7,32,33,32
240,3.9833,5.9740,10824.2,61.25,0.2389600,33.8,33.1,33.7,32,33,32
241,4.0000,5.9990,10844.8,61.37,0.2399600,33.8,33.1,33.7,32,33,32
242,4.0167,6.0240,10866.2,61.49,0.2409600,33.8,33.1,33.7,32,33,32
243,4.0333,6.0490,10885.0,61.60,0.2419600,33.8,33.1,33.7,32,33,32
244,4.0500,6.0740,10904.3,61.71,0.2429600,33.8,33.1,33.7,32,33,32
245,4.0667,6.0990,10924.6,61.82,0.2439600,33.8,33.1,33.7,32,33,32
246,4.0833,6.1240,10945.2,61.94,0.2449600,33.8,33.1,33.6,32,33,32
247,4.1000,6.1490,10962.7,62.04,0.2459600,33.8,33.1,33.6,32,33,32
248,4.1167,6.1740,10983.5,62.15,0.2469600,33.8,33.1,33.6,32,33,32
249,4.1333,6.1990,11003.6,62.27,0.2479600,33.8,33.1,33.6,32,33,32
250,4.1500,6.2240,11025.5,62.39,0.2489600,33.8,33.1,33.6,32,33,32
251,4.1667,6.2490,11043.3,62.49,0.2499600,33.8,33.1,33.6,32,33,32
